date,time,ring,category,phase,red,blue,result,pending,winner_corner,red_points,blue_points,decision,agecat,weightcat,poule,seen_under
2026-09-10,11:49,1,Senior Men Assaut -80 kg,poule,IDRISSA SAGNA,KEREM ALTAY,3-1,False,red,3,1,points,5,9,A,Senegal
2026-09-10,11:49,2,Senior Men Assaut -70 kg,poule,Sergey Drobinsky,MohammadHossein Fallah,1-3,False,blue,1,3,points,5,6,D,Germany
2026-09-10,11:49,3,Senior Men Assaut -56 kg,poule,Li Yu Hung,Anthony Ghassiri,1-3,False,blue,1,3,points,5,3,B,Algeria
2026-09-10,12:02,1,Senior Men Assaut -80 kg,poule,James Antill,Georgi Dimitrov,3-1,False,red,3,1,points,5,9,B,Bulgaria
2026-09-10,12:02,2,Senior Men Assaut +85 kg,poule,Sanan BABAZADE,Luka Sakač,1-3,False,blue,1,3,points,5,11,C,Azerbaijan
2026-09-10,12:02,3,Senior Women Assaut -56 kg,poule,ELİF YALIM,Esther Yamina Noelle OTMANI,3-1,False,red,3,1,points,6,3,A,Algeria
2026-09-10,13:15,1,Senior Men Assaut -80 kg,poule,GHARRAS Amor,LACHENAL Edouard,1-3,False,blue,1,3,points,5,9,C,Switzerland
2026-09-10,13:15,2,Senior Men Assaut -70 kg,poule,DIRICQ ENZO,GHASSIRI Johan,1-3,False,blue,1,3,points,5,6,E,Belgium
2026-09-10,13:15,3,Senior Women Assaut -56 kg,poule,Anja Lukić,Viivi Hirvonen,3-1,False,red,3,1,points,6,3,B,Finland
2026-09-10,13:28,1,Senior Men Assaut -75 kg,poule,D'ERRICO JULIEN,Omidullah Alizadah,3-1,False,red,3,1,points,5,7,F,Belgium
2026-09-10,13:28,2,Senior Men Assaut -70 kg,poule,ATTOUGBRE Yves Alain,BRANTSYRA ARTEM,3-1,False,red,3,1,points,5,6,E,Ivory Coast
2026-09-10,13:28,3,Senior Women Assaut -56 kg,poule,Katarina Klarić,Asia Carducci,1-3,False,blue,1,3,points,6,3,B,Croatia
2026-09-10,13:41,1,Senior Men Assaut -75 kg,poule,GARCIA Iden,CAMARA Mohamadou,3-1,False,red,3,1,points,5,7,F,France
2026-09-10,13:41,2,Senior Men Assaut -70 kg,poule,CHAN WAI YIP,Sergey Drobinsky,1-3,False,blue,1,3,points,5,6,D,Germany
2026-09-10,13:41,3,Senior Men Assaut -60kg,poule,Sajjad Dareini,LAURENT Medhi,1-3,False,blue,1,3,points,5,4,D,France
2026-09-10,13:54,1,Senior Men Assaut -80 kg,poule,KEREM ALTAY,Aditya Amol Khandizod,disqualification,False,red,3,,disqualification,5,9,A,India
2026-09-10,13:54,2,Senior Men Assaut +85 kg,poule,NAROU Yoann,Olivier Lafleur,3-1,False,red,3,1,points,5,11,A,France
2026-09-10,13:54,3,Senior Men Assaut -56 kg,poule,Cheikh THIAM,Stephane Jonkeer,3-1,False,red,3,1,points,5,3,A,Mauritius
2026-09-10,14:07,1,Senior Men Assaut -80 kg,poule,James Antill,Jovan Stevanović,1-3,False,blue,1,3,points,5,9,B,Great Britain
2026-09-10,14:07,2,Senior Men Assaut +85 kg,poule,Sabri Sahraoui,Zan ŠUBELJ,1-3,False,blue,1,3,points,5,11,B,Algeria
2026-09-10,14:07,3,Senior Men Assaut -56 kg,poule,Li Yu Hung,ALAKBAR KHANMAMMADOV,1-3,False,blue,1,3,points,5,3,B,Azerbaijan
2026-09-10,14:20,1,Senior Men Assaut -80 kg,poule,Beyrak BAGHIROV,Valentino Florjanić,1-3,False,blue,1,3,points,5,9,D,Azerbaijan
2026-09-10,14:20,2,Senior Men Assaut +85 kg,poule,Pharelle Wilson AKOUAN,Gabriele Fioravanti,3-1,False,red,3,1,points,5,11,D,Cameroon
2026-09-10,14:20,3,Senior Men Assaut -56 kg,poule,Anthony Ghassiri,Liu KUBOTA,3-1,False,red,3,1,points,5,3,B,Algeria
2026-09-10,14:33,1,Senior Men Assaut -80 kg,poule,Silvio Fortunato,Jonathan Artback,3-1,False,red,3,1,points,5,9,E,Italy
