date,time,ring,category,phase,red,blue,result,pending,winner_corner,red_points,blue_points,decision,agecat,weightcat,poule,seen_under
2026-09-11,13:15,1,Senior Women Assaut -70 kg,poule,Sofia MATNANE,Jessica NOMBREUSE,forfait,False,blue,,3,forfait,6,6,B,Mauritius
2026-09-11,13:15,2,Senior Men Assaut -65 kg,poule,SERIGNE FALLOU MBOUP,Matei Stefan,3-1,False,red,3,1,points,5,5,F,Romania
2026-09-11,13:15,3,Senior Women Assaut -65 kg,poule,LEMAIRE EMMA,Elena ANTIPOVA,3-1,False,red,3,1,points,6,5,D,Belgium
2026-09-11,13:28,1,Senior Women Assaut -48 kg,poule,Viktoria Vogel,Sarah Pierre,3-1,False,red,3,1,points,6,1,C,Austria
2026-09-11,13:28,2,Senior Women Assaut -52 kg,poule,Zarha Slimani,Marianna ZACCARO,forfait,False,blue,,3,forfait,6,2,A,Algeria
2026-09-11,13:28,3,Senior Women Assaut -75 kg,poule,Anastasiia GAVRICHENKO,Jelena Sedoglavić,1-3,False,blue,1,3,points,6,7,A,Neutral Athlete
2026-09-11,13:41,1,Senior Women Assaut -48 kg,poule,LAPAUW CLOE,NANDI Chloe,1-3,False,blue,1,3,points,6,1,C,Belgium
2026-09-11,13:41,2,Senior Women Assaut -52 kg,poule,Stefania Aleksandrova,Nadja Begojev,3-1,False,red,3,1,points,6,2,B,Bulgaria
2026-09-11,13:41,3,Senior Women Assaut -75 kg,poule,Chanistha JOSHI,AYBÜKE SUÇIKAR,1-3,False,blue,1,3,points,6,7,B,Mauritius
2026-09-11,13:54,1,Senior Women Assaut -70 kg,poule,MINET GWENAËLLE,KAABI Elissa,3-1,False,red,3,1,points,6,6,A,Belgium
2026-09-11,13:54,2,Senior Women Assaut -52 kg,poule,Tajana Koščak,Salla Nordman,3-1,False,red,3,1,points,6,2,C,Croatia
2026-09-11,14:07,1,Senior Women Assaut -60kg,poule,Mirta Obelić,Anastasiia TSVETKOVA,1-3,False,blue,1,3,points,6,4,A,Croatia
2026-09-11,14:07,2,Senior Women Assaut -52 kg,poule,Georlice Kelia Lollos,Nargol Rafiee,3-1,False,red,3,1,points,6,2,D,Iran
2026-09-11,14:20,1,Senior Women Assaut -60kg,poule,Arijana Otašević,HEUNG TSZ YING,3-1,False,red,3,1,points,6,4,B,"Hong Kong, China"
2026-09-11,14:20,2,Senior Women Assaut -52 kg,poule,LEMAYLLEUX NATHALIE,KONOVALCHUK ANASTASIIA,1-3,False,blue,1,3,points,6,2,E,Belgium
2026-09-11,14:33,1,Senior Women Assaut -60kg,poule,Maria BEN MOUSSA,EYLÜL KORKMAZ,3-1,False,red,3,1,points,6,4,B,Algeria
2026-09-11,14:33,2,Senior Men Assaut -85 kg,poule,MASSAMBA MAR,Riad Idjellidaine,3-1,False,red,3,1,points,5,10,A,Algeria
2026-09-11,14:46,1,Senior Women Assaut +75 kg,poule,POCHET Lohane,TOUSSAINT MARGUERITE,3-1,False,red,3,1,points,6,8,A,Belgium
2026-09-11,14:46,2,Senior Men Assaut -85 kg,poule,Olivier Foult,James Southwood,1-3,False,blue,1,3,points,5,10,B,Canada
2026-09-11,14:46,3,Senior Men Assaut -75 kg,poule,Farkas Botond,Chant HOVHANNISYAN,forfait,False,red,3,,forfait,5,7,A,Armenia
2026-09-11,14:59,1,Senior Women Assaut +75 kg,poule,Giada VITRANI,ASYA DİLA AKSOY,1-3,False,blue,1,3,points,6,8,A,Slovenia
2026-09-11,14:59,2,Senior Men Assaut -85 kg,poule,Nikolai IARANTSEV,Vugar EYYUBOV,forfait,False,red,3,,forfait,5,10,C,Azerbaijan
2026-09-11,14:59,3,Senior Men Assaut -75 kg,poule,VOINOV VITALII,Mehmet Emin ERTUĞRUL,3-1,False,red,3,1,points,5,7,B,Turkey
2026-09-11,15:12,1,Senior Men Assaut -65 kg,poule,Szabára Dávid,SAYT ESMIT OZUNA CEBALLOS,3-1,False,red,3,1,points,5,5,A,Colombia
2026-09-11,15:12,2,Senior Men Assaut -85 kg,poule,Basil Twayana,Noah Kaergel,1-3,False,blue,1,3,points,5,10,D,Germany
2026-09-11,15:12,3,Senior Men Assaut -75 kg,poule,Kevin Truesdale,Radoje Stevanović,1-3,False,blue,1,3,points,5,7,C,New Zealand
2026-09-11,15:25,1,Senior Men Assaut -65 kg,poule,POSKOCHIN OLEKSANDR,FATİH ÖREN,1-3,False,blue,1,3,points,5,5,B,Turkey
2026-09-11,15:25,2,Senior Men Assaut -85 kg,poule,VAN HOECKE CHRIS,DEMOUGEOT Franck,1-3,False,blue,1,3,points,5,10,E,Belgium
2026-09-11,15:25,3,Senior Men Assaut -75 kg,poule,NYAMA André,Simone Cogrossi,1-3,False,blue,1,3,points,5,7,D,Cameroon
2026-09-11,15:38,1,Senior Men Assaut -65 kg,poule,Smael Mayouf,Rishav Sharma,3-1,False,red,3,1,points,5,5,C,Algeria
2026-09-11,15:38,2,Senior Women Assaut -65 kg,poule,SERENA Fanny,KURNOSENKO SOFIIA,3-1,False,red,3,1,points,6,5,A,France
2026-09-11,15:51,1,Senior Men Assaut -65 kg,poule,Kirill KURILKO,Nihat GULIYEV,1-3,False,blue,1,3,points,5,5,D,Azerbaijan
2026-09-11,15:51,2,Senior Women Assaut -52 kg,poule,Mariko HARA,Nargol Rafiee,3-1,False,red,3,1,points,6,2,D,Iran
2026-09-11,16:04,1,Senior Women Assaut -60kg,poule,Maria BEN MOUSSA,HEUNG TSZ YING,3-1,False,red,3,1,points,6,4,B,Algeria
2026-09-11,16:04,2,Senior Women Assaut -52 kg,poule,DELAPLESSE Arwen,KONOVALCHUK ANASTASIIA,3-1,False,red,3,1,points,6,2,E,France
2026-09-11,16:17,1,Senior Women Assaut -70 kg,poule,Sofia MATNANE,Selvi Aleyna GILO,forfait,False,blue,,3,forfait,6,6,B,Slovenia
2026-09-11,16:17,2,Senior Men Assaut -85 kg,poule,BERKE YILMAZ,Riad Idjellidaine,1-3,False,blue,1,3,points,5,10,A,Algeria
2026-09-11,16:17,3,Senior Men Assaut -75 kg,poule,Johannes Stindt,Yoshinori HASHIMOTO,3-1,False,red,3,1,points,5,7,E,Germany
2026-09-11,16:30,1,Senior Men Assaut -65 kg,poule,HEUNG TSZ HEI,Hamzeh Moradian,1-3,False,blue,1,3,points,5,5,E,"Hong Kong, China"
2026-09-11,16:30,2,Senior Men Assaut -85 kg,poule,Olivier Foult,Luka Babić,3-1,False,red,3,1,points,5,10,B,Canada
2026-09-11,16:30,3,Senior Men Assaut -75 kg,poule,D'ERRICO JULIEN,GARCIA Iden,1-3,False,blue,1,3,points,5,7,F,Belgium
2026-09-11,16:43,1,Senior Men Assaut -65 kg,poule,Szabára Dávid,Mamadou Marrif SOW,3-1,False,red,3,1,points,5,5,A,Guinea Conakry
2026-09-11,16:43,2,Senior Men Assaut -85 kg,poule,Nikolai IARANTSEV,Emanuel Šprem,1-3,False,blue,1,3,points,5,10,C,Croatia
2026-09-11,16:43,3,Senior Men Assaut -75 kg,poule,CAMARA Mohamadou,Omidullah Alizadah,3-1,False,red,3,1,points,5,7,F,Refugee
2026-09-11,16:56,1,Senior Men Assaut -65 kg,poule,POSKOCHIN OLEKSANDR,Florian SUBDURALLY,1-3,False,blue,1,3,points,5,5,B,Mauritius
2026-09-11,16:56,2,Senior Men Assaut -85 kg,poule,Basil Twayana,Masoud Askari,1-3,False,blue,1,3,points,5,10,D,Iran
2026-09-11,16:56,3,Senior Men Assaut -70 kg,poule,Tommaso Mari,MohammadHossein Fallah,1-3,False,blue,1,3,points,5,6,D,Iran
2026-09-11,17:09,1,Senior Women Assaut +75 kg,poule,TOUSSAINT MARGUERITE,ASYA DİLA AKSOY,3-1,False,red,3,1,points,6,8,A,Belgium
2026-09-11,17:09,2,Senior Men Assaut -85 kg,poule,VAN HOECKE CHRIS,CHEKH PAVLO,3-1,False,red,3,1,points,5,10,E,Belgium
2026-09-11,17:09,3,Senior Men Assaut +85 kg,poule,Nikola Vukčević,Sanan BABAZADE,forfait,False,red,3,,forfait,5,11,C,Azerbaijan
2026-09-11,17:22,1,Senior Men Assaut -65 kg,poule,Smael Mayouf,Nour-Eddine Behhdadi,3-1,False,red,3,1,points,5,5,C,Algeria
2026-09-11,17:22,2,Senior Women Assaut -65 kg,poule,SERENA Fanny,ZÜMRA KERİM,3-1,False,red,3,1,points,6,5,A,France
2026-09-11,17:22,3,Senior Men Assaut +85 kg,poule,Egor GOLOVCHENKO,Luka Sakač,1-3,False,blue,1,3,points,5,11,C,Croatia
2026-09-11,17:35,1,Senior Women Assaut -70 kg,poule,Soraya Bouzidi,Jessica NOMBREUSE,1-3,False,blue,1,3,points,6,6,B,Canada
2026-09-11,17:35,2,Senior Women Assaut -65 kg,poule,Anna Bosc,Giulia RUDEZ,3-1,False,red,3,1,points,6,5,B,Algeria
2026-09-11,17:48,1,Senior Women Assaut +75 kg,poule,POCHET Lohane,Giada VITRANI,forfait,False,red,3,,forfait,6,8,A,France
2026-09-11,17:48,2,Senior Women Assaut -65 kg,poule,Riikka Holopainen,Giulia Triolo,1-3,False,blue,1,3,points,6,5,C,Finland
2026-09-11,17:48,3,Senior Men Assaut -60kg,poule,Kenta FUNAYAMA,Howard Ríos,1-3,False,blue,1,3,points,5,4,D,Colombia
2026-09-11,18:01,1,Senior Men Assaut -65 kg,poule,Kirill KURILKO,Rony BAABAN A,1-3,False,blue,1,3,points,5,5,D,Cameroon
2026-09-11,18:01,2,Senior Men Assaut -85 kg,poule,James Southwood,Luka Babić,1-3,False,blue,1,3,points,5,10,B,Great Britain
2026-09-11,18:01,3,Senior Women Assaut -56 kg,poule,KERRINCKX ELISABETH,SAPONOVA ALISA,1-3,False,blue,1,3,points,6,3,C,Belgium
2026-09-11,18:14,1,Senior Men Assaut -65 kg,poule,SAYT ESMIT OZUNA CEBALLOS,Mamadou Marrif SOW,1-3,False,blue,1,3,points,5,5,A,Colombia
2026-09-11,18:14,2,Senior Men Assaut -85 kg,poule,Vugar EYYUBOV,Emanuel Šprem,forfait,False,blue,,3,forfait,5,10,C,Azerbaijan
2026-09-11,18:14,3,Senior Men Assaut -56 kg,poule,PECQUET BAPTISTE,Johan Felipe Caballos Peña,3-1,False,red,3,1,points,5,3,C,Belgium
2026-09-11,18:27,1,Senior Men Assaut -65 kg,poule,FATİH ÖREN,Florian SUBDURALLY,1-3,False,blue,1,3,points,5,5,B,Mauritius
2026-09-11,18:27,2,Senior Men Assaut -85 kg,poule,Noah Kaergel,Masoud Askari,1-3,False,blue,1,3,points,5,10,D,Germany
2026-09-11,18:27,3,Senior Women Assaut -48 kg,poule,Viktoria Vogel,NANDI Chloe,1-3,False,blue,1,3,points,6,1,C,Austria
2026-09-11,18:40,1,Senior Men Assaut -65 kg,poule,HEUNG TSZ HEI,DEL GIUDICE YANIS,disqualification,False,blue,,3,disqualification,5,5,E,Belgium
2026-09-11,18:40,2,Senior Men Assaut -85 kg,poule,DEMOUGEOT Franck,CHEKH PAVLO,3-1,False,red,3,1,points,5,10,E,France
2026-09-12,08:30,1,Senior Men Assaut -75 kg,poule,GAREL Florian,Oscar Mauricio Calderón Ramírez,,True,,,,,,,,Chinese Taipei
2026-09-12,08:40,1,Senior Men Assaut -65 kg,1/4,Nihat GULIYEV,Nour-Eddine Behhdadi,3-1,False,red,3,1,points,,,,Azerbaijan
2026-09-12,08:40,2,Senior Men Assaut -65 kg,1/4,DESARME Pierre-Ley,Hamzeh Moradian,3-1,False,red,3,1,points,,,,France
2026-09-12,08:40,3,Senior Men Assaut -65 kg,1/4,Florian SUBDURALLY,Mamadou Marrif SOW,3-1,False,red,3,1,points,,,,Guinea Conakry
2026-09-12,08:53,1,Senior Men Assaut -65 kg,1/4,Szabára Dávid,Smael Mayouf,3-1,False,red,3,1,points,,,,Algeria
2026-09-12,08:53,2,Senior Men Assaut -70 kg,1/4,GHASSIRI Johan,Narek BABADZHANIAN,3-1,False,red,3,1,points,,,,France
2026-09-12,08:53,3,Senior Men Assaut -70 kg,1/4,MohammadHossein Fallah,LOPEZ Ousmane,3-1,False,red,3,1,points,,,,Iran
2026-09-12,09:06,1,Senior Men Assaut -70 kg,1/4,Kamel Mayouf,DIRICQ ENZO,1-3,False,blue,1,3,points,,,,Algeria
2026-09-12,09:06,2,Senior Men Assaut -70 kg,1/4,Robert Rijetković,Tommaso Mari,3-1,False,red,3,1,points,,,,Croatia
2026-09-12,09:06,3,Senior Men Assaut -75 kg,1/4,Farzam Fallah,Farkas Botond,3-1,False,red,3,1,points,,,,Hungary
2026-09-12,09:19,1,Senior Men Assaut -75 kg,1/4,GARCIA Iden,Johannes Stindt,3-1,False,red,3,1,points,,,,France
2026-09-12,09:19,2,Senior Men Assaut -75 kg,1/4,Bartol Pavičić,D'ERRICO JULIEN,3-1,False,red,3,1,points,,,,Belgium
2026-09-12,09:19,3,Senior Men Assaut -75 kg,1/4,Simone Cogrossi,Mehmet Emin ERTUĞRUL,3-1,False,red,3,1,points,,,,Italy
2026-09-12,09:32,1,Senior Men Assaut -85 kg,1/4,DEMOUGEOT Franck,James Southwood,3-1,False,red,3,1,points,,,,France
2026-09-12,09:32,2,Senior Men Assaut -85 kg,1/4,MASSAMBA MAR,VAN HOECKE CHRIS,3-1,False,red,3,1,points,,,,Belgium
2026-09-12,09:32,3,Senior Men Assaut -85 kg,1/4,Emanuel Šprem,Olivier Foult,1-3,False,blue,1,3,points,,,,Canada
2026-09-12,09:45,1,Senior Men Assaut -85 kg,1/4,Masoud Askari,Riad Idjellidaine,1-3,False,blue,1,3,points,,,,Algeria
2026-09-12,09:45,2,Senior Women Assaut -52 kg,1/4,DELAPLESSE Arwen,Mariko HARA,3-1,False,red,3,1,points,,,,France
2026-09-12,09:45,3,Senior Women Assaut -52 kg,1/4,Kira TOROPOVA,KONOVALCHUK ANASTASIIA,1-3,False,blue,1,3,points,,,,Neutral Athlete
2026-09-12,09:58,1,Senior Women Assaut -52 kg,1/4,Georlice Kelia Lollos,Stefania Aleksandrova,1-3,False,blue,1,3,points,,,,Bulgaria
2026-09-12,09:58,2,Senior Women Assaut -52 kg,1/4,Marianna ZACCARO,Louisa Furniss,1-3,False,blue,1,3,points,,,,Great Britain
2026-09-12,11:15,1,Senior Men Assaut -56 kg,1/2,Cheikh THIAM,Anthony Ghassiri,3-1,False,red,3,1,points,,,,Algeria
2026-09-12,11:15,2,Senior Men Assaut -56 kg,1/2,CAVROT-WESTERLINCK Ethan,ALAKBAR KHANMAMMADOV,3-1,False,red,3,1,points,,,,Azerbaijan
2026-09-12,11:15,3,Senior Men Assaut -60kg,1/2,LAURENT Medhi,Yasin IBRAHIMOV,3-1,False,red,3,1,points,,,,Azerbaijan
2026-09-12,11:28,1,Senior Men Assaut -60kg,1/2,Gregory THOMASOO,Kais Garayalde,3-1,False,red,3,1,points,,,,Algeria
2026-09-12,11:28,2,Senior Men Assaut -65 kg,1/2,Nihat GULIYEV,DESARME Pierre-Ley,1-3,False,blue,1,3,points,,,,Azerbaijan
2026-09-12,11:28,3,Senior Men Assaut -65 kg,1/2,Florian SUBDURALLY,Szabára Dávid,1-3,False,blue,1,3,points,,,,Hungary
2026-09-12,11:41,1,Senior Men Assaut -70 kg,1/2,GHASSIRI Johan,MohammadHossein Fallah,3-1,False,red,3,1,points,,,,France
2026-09-12,11:41,2,Senior Men Assaut -70 kg,1/2,DIRICQ ENZO,Robert Rijetković,1-3,False,blue,1,3,points,,,,Belgium
2026-09-12,11:41,3,Senior Men Assaut -75 kg,1/2,Farzam Fallah,GARCIA Iden,1-3,False,blue,1,3,points,,,,France
2026-09-12,11:54,1,Senior Men Assaut -75 kg,1/2,Bartol Pavičić,Simone Cogrossi,3-1,False,red,3,1,points,,,,Croatia
2026-09-12,11:54,2,Senior Men Assaut -80 kg,1/2,Grigorii DROGIN,LACHENAL Edouard,1-3,False,blue,1,3,points,,,,Neutral Athlete
2026-09-12,11:54,3,Senior Men Assaut -80 kg,1/2,IDRISSA SAGNA,BIENVENU Jovan,1-3,False,blue,1,3,points,,,,France
2026-09-12,13:15,1,Senior Men Assaut -85 kg,1/2,DEMOUGEOT Franck,MASSAMBA MAR,3-1,False,red,3,1,points,,,,France
2026-09-12,13:15,2,Senior Women Assaut -65 kg,1/2,SERENA Fanny,Giulia Triolo,3-1,False,red,3,1,points,,,,France
2026-09-12,13:15,3,Senior Men Assaut +85 kg,1/2,Zan ŠUBELJ,NAROU Yoann,1-3,False,blue,1,3,points,,,,France
2026-09-12,13:28,1,Senior Men Assaut +85 kg,1/2,Balla TRAORÉ,Nikola Vukčević,1-3,False,blue,1,3,points,,,,Mali
2026-09-12,13:28,2,Senior Women Assaut -60kg,1/2,ROUSSY Noa,Arijana Otašević,3-1,False,red,3,1,points,,,,France
2026-09-12,13:28,3,Senior Women Assaut -48 kg,1/2,Lidia Abazovski,Viktoria Vogel,3-1,False,red,3,1,points,,,,Austria
2026-09-12,13:41,1,Senior Women Assaut -52 kg,1/2,DELAPLESSE Arwen,KONOVALCHUK ANASTASIIA,3-1,False,red,3,1,points,,,,France
2026-09-12,13:41,2,Senior Women Assaut -75 kg,1/2,AYBÜKE SUÇIKAR,DJONDO Sara,disqualification,False,blue,,3,disqualification,,,,France
2026-09-12,13:41,3,Senior Women Assaut -56 kg,1/2,Bukovinszky Luca,Katarina Klarić,1-3,False,blue,1,3,points,,,,Croatia
2026-09-12,13:54,1,Senior Women Assaut -56 kg,1/2,LOBJEOIS Gwendoline,Asia Carducci,3-1,False,red,3,1,points,,,,France
2026-09-12,13:54,2,Senior Women Assaut -52 kg,1/2,Stefania Aleksandrova,Louisa Furniss,3-1,False,red,3,1,points,,,,Bulgaria
2026-09-12,13:54,3,Senior Women Assaut -60kg,1/2,Maria BEN MOUSSA,Anastasiia TSVETKOVA,3-1,False,red,3,1,points,,,,Algeria
2026-09-12,14:07,1,Senior Women Assaut -65 kg,1/2,LEMAIRE EMMA,Gabriela Tsenkova,3-1,False,red,3,1,points,,,,Belgium
2026-09-12,14:07,2,Senior Men Assaut -85 kg,1/2,Olivier Foult,Riad Idjellidaine,1-3,False,blue,1,3,points,,,,Algeria
2026-09-12,14:07,3,Senior Women Assaut -70 kg,1/2,BUGADA Marine,Soraya Bouzidi,3-1,False,red,3,1,points,,,,Canada
2026-09-12,14:20,1,Senior Women Assaut -70 kg,1/2,Jessica NOMBREUSE,MINET GWENAËLLE,1-3,False,blue,1,3,points,,,,Belgium
2026-09-12,14:20,2,Senior Women Assaut -48 kg,1/2,NANDI Chloe,Helena Beljak,3-1,False,red,3,1,points,,,,Croatia
2026-09-12,14:20,3,Senior Women Assaut -75 kg,1/2,Jelena Sedoglavić,Chanistha JOSHI,disqualification,False,red,3,,disqualification,,,,Mauritius
2026-09-12,14:45,2,Senior Men Assaut -60kg,final,LAURENT Medhi,Gregory THOMASOO,3-1,False,red,3,1,points,,,,France
2026-09-12,15:00,2,Senior Women Assaut -75 kg,final,DJONDO Sara,Jelena Sedoglavić,3-1,False,red,3,1,points,,,,France
2026-09-12,15:45,2,Senior Women Assaut -65 kg,final,LEMAIRE EMMA,SERENA Fanny,1-3,False,blue,1,3,points,,,,Belgium
2026-09-12,16:00,2,Senior Women Assaut -60kg,final,ROUSSY Noa,Maria BEN MOUSSA,3-1,False,red,3,1,points,,,,Algeria
2026-09-12,16:30,2,Senior Men Assaut +85 kg,final,NAROU Yoann,Nikola Vukčević,1-3,False,blue,1,3,points,,,,France
2026-09-12,18:30,2,Senior Men Assaut -70 kg,final,GHASSIRI Johan,Robert Rijetković,3-1,False,red,3,1,points,,,,Croatia
2026-09-12,18:45,2,Senior Women Assaut -52 kg,final,DELAPLESSE Arwen,Stefania Aleksandrova,3-1,False,red,3,1,points,,,,Bulgaria
2026-09-12,19:00,2,Senior Men Assaut -65 kg,final,DESARME Pierre-Ley,Szabára Dávid,3-1,False,red,3,1,points,,,,France
2026-09-12,19:15,2,Senior Women Assaut -70 kg,final,BUGADA Marine,MINET GWENAËLLE,3-1,False,red,3,1,points,,,,Belgium
2026-09-12,19:30,2,Senior Women Assaut -48 kg,final,NANDI Chloe,Lidia Abazovski,3-1,False,red,3,1,points,,,,France
2026-09-12,20:30,2,Senior Men Assaut -85 kg,final,DEMOUGEOT Franck,Riad Idjellidaine,1-3,False,blue,1,3,points,,,,Algeria
2026-09-12,20:45,2,Senior Women Assaut +75 kg,final,POCHET Lohane,TOUSSAINT MARGUERITE,3-1,False,red,3,1,points,,,,Belgium
2026-09-12,21:00,2,Senior Men Assaut -56 kg,final,Cheikh THIAM,CAVROT-WESTERLINCK Ethan,3-1,False,red,3,1,points,,,,France
2026-09-12,21:15,2,Senior Men Assaut -80 kg,final,LACHENAL Edouard,BIENVENU Jovan,1-3,False,blue,1,3,points,,,,France
2026-09-12,21:30,2,Senior Women Assaut -56 kg,final,Katarina Klarić,LOBJEOIS Gwendoline,1-3,False,blue,1,3,points,,,,Croatia
2026-09-12,21:45,2,Senior Men Assaut -75 kg,final,GARCIA Iden,Bartol Pavičić,1-3,False,blue,1,3,points,,,,Croatia
