tournament,bout_id,date,time,ring,category,gender,age_class,weight_kg,weight_bound,phase,poule,red,red_country,red_club,red_weighed,blue,blue_country,blue_club,blue_weighed,red_points,blue_points,red_warnings,blue_warnings,winner_corner,winner,loser,decision,decision_detail,status,result_source
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-044,,,,Veteran Men open,Men,Veteran,,over,poule,,PILONI Cedric,,CSM EPINAY 93,,TURPAIN Geoffrey,,GANT D’ARGENT LILLE SUD,,,,,,,PILONI Cedric,TURPAIN Geoffrey,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-045,,,,Veteran Men open,Men,Veteran,,over,poule,,LARIDAN Florent,,SBF MIONNAY,,GAUTIER Yann,,COTES DES LEGENDES LESNEVEN,,,,,,,LARIDAN Florent,GAUTIER Yann,points,Majorité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-046,,,,Veteran Men open,Men,Veteran,,over,poule,,FRAIM Gabriel,,LE RING LUCONNAIS,,MAUREY Yannick,,IMPACTS 33,,,,,,,MAUREY Yannick,FRAIM Gabriel,forfait,Par Forfait,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-047,,,,Veteran Men -80 kg,Men,Veteran,80,under,poule,,CHAPELAIN Alexandre,,VAILLANTE BF ANGERS,,IDJELLIDAINE Riad,,CERCLE DE BFERMONT,,,,,,,IDJELLIDAINE Riad,CHAPELAIN Alexandre,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-048,,,,Veteran Men -80 kg,Men,Veteran,80,under,poule,,BRASSOUD Hadrien,,ANNECY BF,,MARLIER Alexandre,,BFS DE THOUROTTE,,,,,,,BRASSOUD Hadrien,MARLIER Alexandre,points,Majorité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-049,,,,Veteran Men -80 kg,Men,Veteran,80,under,poule,,PAUCHET Tony,,SERRIS VAL D’EUROPE SAVATE,,BARROIS Olivier,,SA MERIGNAC BF,,,,,,,PAUCHET Tony,BARROIS Olivier,points,Majorité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-050,,,,Veteran Men -85 kg,Men,Veteran,85,under,poule,,COLMAGRO Sebastien,,GANT D’OR DE HOUILLES,,EL KHORASSANI Madjid,,TEAM POLLUX FLAYOSCAIS,,,,,,,COLMAGRO Sebastien,EL KHORASSANI Madjid,points,Majorité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-051,,,,Veteran Men -85 kg,Men,Veteran,85,under,poule,,LUQUET Alexandre,,CHOLET BF,,LABADIE Michel,,TEYRAN SAVATE POING,,,,,,,LUQUET Alexandre,LABADIE Michel,disqualification,Par Disqualification,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-052,,,,Veteran Men -85 kg,Men,Veteran,85,under,poule,,LAMOLIE Jérôme,,ASH GYM SPORTS DE COMBAT,,LEGENDRE Anthony,,ASC CHEVIGNY ST SAUVEUR,,,,,,,LAMOLIE Jérôme,LEGENDRE Anthony,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-053,,,,Veteran Men -85 kg,Men,Veteran,85,under,poule,,ADAM Alexandre,,BFS FAULQUEMONT-CREHANGE,,SECAIN Grégoire,,ANNECY BF,,,,,,,ADAM Alexandre,SECAIN Grégoire,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-054,,,,Veteran Men open,Men,Veteran,,over,poule,,LARIDAN Florent,,SBF MIONNAY,,FRAIM Gabriel,,LE RING LUCONNAIS,,,,,,,LARIDAN Florent,FRAIM Gabriel,forfait,Par Forfait,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-055,,,,Veteran Men open,Men,Veteran,,over,poule,,GAUTIER Yann,,COTES DES LEGENDES LESNEVEN,,MAUREY Yannick,,IMPACTS 33,,,,,,,MAUREY Yannick,GAUTIER Yann,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-056,,,,Veteran Men open,Men,Veteran,,over,poule,,PILONI Cedric,,CSM EPINAY 93,,ANTONUCCI Mario,,ASC CHEVIGNY ST SAUVEUR,,,,,,,PILONI Cedric,ANTONUCCI Mario,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-057,,,,Veteran Men -80 kg,Men,Veteran,80,under,poule,,LANDOZ Mathieu,,LA SAVATE LURONNE,,IDJELLIDAINE Riad,,CERCLE DE BFERMONT,,,,,,,IDJELLIDAINE Riad,LANDOZ Mathieu,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-058,,,,Veteran Men -80 kg,Men,Veteran,80,under,poule,,PAUCHET Tony,,SERRIS VAL D’EUROPE SAVATE,,MARLIER Alexandre,,BFS DE THOUROTTE,,,,,,,PAUCHET Tony,MARLIER Alexandre,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-059,,,,Veteran Men -80 kg,Men,Veteran,80,under,poule,,BRASSOUD Hadrien,,ANNECY BF,,BARROIS Olivier,,SA MERIGNAC BF,,,,,,,BARROIS Olivier,BRASSOUD Hadrien,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-060,,,,Veteran Men -85 kg,Men,Veteran,85,under,poule,,FARIA Miguel,,COMB BAGNEUX,,LEGENDRE Anthony,,ASC CHEVIGNY ST SAUVEUR,,,,,,,FARIA Miguel,LEGENDRE Anthony,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-061,,,,Veteran Men -85 kg,Men,Veteran,85,under,poule,,CABOCHE Vincent,,SBF LEO LAGRANGE ARMENTIERES,,SEGAIN Grégoire,,ANNECY BF,,,,,,,CABOCHE Vincent,SEGAIN Grégoire,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-062,,,,Veteran Men open,Men,Veteran,,over,poule,,LARIDAN Florent,,SBF MIONNAY,,MAUREY Yannick,,IMPACTS 33,,,,,,,MAUREY Yannick,LARIDAN Florent,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-063,,,,Veteran Men open,Men,Veteran,,over,poule,,GAUTIER Yann,,COTES DES LEGENDES LESNEVEN,,FRAIM Gabriel,,LE RING LUCONNAIS,,,,,,,GAUTIER Yann,FRAIM Gabriel,forfait,Par Forfait,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-064,,,,Veteran Men open,Men,Veteran,,over,poule,,TURPAIN Geoffrey,,GANT D’ARGENT LILLE SUD,,ANTONUCCI Mario,,ASC CHEVIGNY ST SAUVEUR,,,,,,,TURPAIN Geoffrey,ANTONUCCI Mario,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-065,,,,Veteran Men -85 kg,Men,Veteran,85,under,poule,,COLMAGRO Sebastien,,GANT D’OR DE HOUILLES,,LABADIE Michel,,TEYRAN SAVATE POING,,,,,,,COLMAGRO Sebastien,LABADIE Michel,points,Majorité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-066,,,,Veteran Men -85 kg,Men,Veteran,85,under,poule,,LUQUET Alexandre,,CHOLET BF,,EL KHORASSANI Madjid,,TEAM POLLUX FLAYOSCAIS,,,,,,,LUQUET Alexandre,EL KHORASSANI Madjid,points,Majorité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-067,,,,Veteran Men -60 kg,Men,Veteran,60,under,semi,,FOUBERT Sebastien,,PARIS SBF,,BEERNAERT Dimitri,,SBF LEO LAGRANGE ARMENTIERES,,,,,,,FOUBERT Sebastien,BEERNAERT Dimitri,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-068,,,,Veteran Men -65 kg,Men,Veteran,65,under,semi,,LAMOTTE Gerald,,SFG SAVATE,,BRULARD Ludovic,,CO ULIS BFS,,,,,,,BRULARD Ludovic,LAMOTTE Gerald,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-069,,,,Veteran Men -70 kg,Men,Veteran,70,under,semi,,TESSERON Sebastien,,BF ST AMAND,,PUJOL Alexandre,,SAVATE HYPER FIGHTING,,,,,,,TESSERON Sebastien,PUJOL Alexandre,points,Majorité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-070,,,,Veteran Men -70 kg,Men,Veteran,70,under,semi,,MAYOUF Kamel,,SBF LEO LAGRANGE ARMENTIERES,,ROMBY Jonathan,,ANNECY BF,,,,,,,MAYOUF Kamel,ROMBY Jonathan,points,Majorité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-071,,,,Veteran Men -75 kg,Men,Veteran,75,under,semi,,LEROY Marc,,SDCL CENTER,,PEREIRA LOPES Jorge,,GANT D’OR DE HOUILLES,,,,,,,LEROY Marc,PEREIRA LOPES Jorge,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-072,,,,Veteran Men -75 kg,Men,Veteran,75,under,semi,,DELPORTE Yannick,,SA MERIGNAC BF,,GIROD ROUX Lionel,,SBF LEO LAGRANGE ARMENTIERES,,,,,,,DELPORTE Yannick,GIROD ROUX Lionel,points,Majorité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-073,,,,Veteran Men -80 kg,Men,Veteran,80,under,semi,,IDJELLIDAINE Riad,,CERCLE DE BFERMONT,,BARROIS Olivier,,SA MERIGNAC BF,,,,,,,IDJELLIDAINE Riad,BARROIS Olivier,points,Majorité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-074,,,,Veteran Men -80 kg,Men,Veteran,80,under,semi,,PAUCHET Tony,,SERRIS VAL D’EUROPE SAVATE,,LANDOZ Mathieu,,LA SAVATE LURONNE,,,,,,,PAUCHET Tony,LANDOZ Mathieu,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-075,,,,Veteran Men -85 kg,Men,Veteran,85,under,semi,,LAMOLIE Jerome,,ASH GYM SPORTS DE COMBAT,,EL KHORASSANI Madjid,,TEAM POLLUX FLAYOSCAIS,,,,,,,LAMOLIE Jerome,EL KHORASSANI Madjid,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-076,,,,Veteran Men -85 kg,Men,Veteran,85,under,semi,,ADAM Alexandre,,BFS FAULQUEMONT-CREHANGE,,COLMAGRO Sebastien,,GANT D’OR DE HOUILLES,,,,,,,ADAM Alexandre,COLMAGRO Sebastien,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-077,,,,Veteran Men open,Men,Veteran,,over,semi,,PILONI Cedric,,CSM EPINAY 93,,LARIDAN Florent,,SBF MIONNAY,,,,,,,PILONI Cedric,LARIDAN Florent,points,Majorité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-078,,,,Veteran Men open,Men,Veteran,,over,semi,,MAUREY Yannick,,IMPACTS 33,,TURPAIN Geoffrey,,GANT D’ARGENT LILLE SUD,,,,,,,MAUREY Yannick,TURPAIN Geoffrey,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-079,,,,Veteran Men -60 kg,Men,Veteran,60,under,final,,FACHERO Vincent,,PLMCB-SAVATE BRESTOISE,,CATTOIRE Eric,,SBF LEO LAGRANGE ARMENTIERES,,,,,,,FACHERO Vincent,CATTOIRE Eric,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-080,,,,Veteran Men -65 kg,Men,Veteran,65,under,final,,FOUBERT Sebastien,,PARIS SBF,,BRULARD Ludovic,,CO ULIS BFS,,,,,,,FOUBERT Sebastien,BRULARD Ludovic,points,Unanimité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-081,,,,Veteran Men -70 kg,Men,Veteran,70,under,final,,MAYOUF Kamel,,SBF LEO LAGRANGE ARMENTIERES,,TESSERON Sebastien,,BF ST AMAND,,,,,,,MAYOUF Kamel,TESSERON Sebastien,points,Majorité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-082,,,,Veteran Men -75 kg,Men,Veteran,75,under,final,,DELPORTE Yannick,,SA MERIGNAC BF,,LEROY Marc,,SDCL CENTER,,,,,,,DELPORTE Yannick,LEROY Marc,points,Majorité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-083,,,,Veteran Men -80 kg,Men,Veteran,80,under,final,,PAUCHET Tony,,SERRIS VAL D’EUROPE SAVATE,,IDJELLIDAINE Riad,,CERCLE DE BFERMONT,,,,,,,PAUCHET Tony,IDJELLIDAINE Riad,points,Majorité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-084,,,,Veteran Men -85 kg,Men,Veteran,85,under,final,,ADAM Alexandre,,BFS FAULQUEMONT-CREHANGE,,LAMOLIE Jerome,,ASH GYM SPORTS DE COMBAT,,,,,,,ADAM Alexandre,LAMOLIE Jerome,points,Majorité,decided,reported
ffsavate-championnat-de-france-veterans-masculin-2023-paris,ffsavate-championnat-de-france-veterans-masculin-2023-paris-085,,,,Veteran Men open,Men,Veteran,,over,final,,MAUREY Yannick,,IMPACTS 33,,PILONI Cedric,,CSM EPINAY 93,,,,,,,MAUREY Yannick,PILONI Cedric,points,Unanimité,decided,reported
ffsavate-championnat-de-france-premium-2024-verdun,ffsavate-championnat-de-france-premium-2024-verdun-001,,,,Premium Women -48 kg,Women,,48,under,final,,BIENVENU Kelly,,SAVATE CAPELLOISE,,PROVENZANO Amélie,,DYNAMIK BOXING CLUB,,,,,,,BIENVENU Kelly,PROVENZANO Amélie,points,Unanimité,decided,reported
ffsavate-championnat-de-france-premium-2024-verdun,ffsavate-championnat-de-france-premium-2024-verdun-002,,,,Premium Women -52 kg,Women,,52,under,final,,PEREZ Lisa,,SAVATE COTOISE,,MAGNANO Zélie,,SAVATE ST CHRISTOL,,,,,,,PEREZ Lisa,MAGNANO Zélie,points,Majorité,decided,reported
ffsavate-championnat-de-france-premium-2024-verdun,ffsavate-championnat-de-france-premium-2024-verdun-003,,,,Premium Women -56 kg,Women,,56,under,final,,DE SALVO Pema,,SAVATE BOXING LA CIOTAT,,QUIN Romane,,KANGOUROU CLUB,,,,,,,DE SALVO Pema,QUIN Romane,points,Unanimité,decided,reported
ffsavate-championnat-de-france-premium-2024-verdun,ffsavate-championnat-de-france-premium-2024-verdun-004,,,,Premium Men -56 kg,Men,,56,under,final,,CAVROT WESTERLINCK Ethan,,IMPACT SBF,,LOEB Noa,,LEO LAGRANGE ARMENTIERES,,,,,,,CAVROT WESTERLINCK Ethan,LOEB Noa,points,Majorité,decided,reported
ffsavate-championnat-de-france-premium-2024-verdun,ffsavate-championnat-de-france-premium-2024-verdun-005,,,,Premium Women -60 kg,Women,,60,under,final,,COSTA PICORNELL Cassidy,,MILLAS BOXE,,BEURRE Romane,,MOTTERAIN BF,,,,,,,COSTA PICORNELL Cassidy,BEURRE Romane,points,Unanimité,decided,reported
ffsavate-championnat-de-france-premium-2024-verdun,ffsavate-championnat-de-france-premium-2024-verdun-006,,,,Premium Men -60 kg,Men,,60,under,final,,BOISMOREAU Willan,,BF HERMINOISE,,BROUSSE Angello,,IMPACT MB,,,,,,,BOISMOREAU Willan,BROUSSE Angello,points,Unanimité,decided,reported
ffsavate-championnat-de-france-premium-2024-verdun,ffsavate-championnat-de-france-premium-2024-verdun-007,,,,Premium Women -65 kg,Women,,65,under,final,,PERRIN Maeva,,SAVATE COTOISE,,PENA Cyrila,,TCMS,,,,,,,PERRIN Maeva,PENA Cyrila,points,Unanimité,decided,reported
ffsavate-championnat-de-france-premium-2024-verdun,ffsavate-championnat-de-france-premium-2024-verdun-008,,,,Premium Men -65 kg,Men,,65,under,final,,FERRARA Joan,,NICE BOXING TEAM,,BACQUE Timeo,,STCM,,,,,,,FERRARA Joan,BACQUE Timeo,points,Unanimité,decided,reported
ffsavate-championnat-de-france-premium-2024-verdun,ffsavate-championnat-de-france-premium-2024-verdun-009,,,,Premium Women -70 kg,Women,,70,under,final,,LEMMOUCHI Zina,,LEVALLOIS SPORTING CLUB,,SACCOH Kadidiatou,,AVENIR SPORTIF ORLY,,,,,,,LEMMOUCHI Zina,SACCOH Kadidiatou,points,Unanimité,decided,reported
ffsavate-championnat-de-france-premium-2024-verdun,ffsavate-championnat-de-france-premium-2024-verdun-010,,,,Premium Men -70 kg,Men,,70,under,final,,BOUGLOUF Malik,,PLANETE BORG,,DOYEN Hugo,,CSME BF,,,,,,,BOUGLOUF Malik,DOYEN Hugo,points,Majorité,decided,reported
ffsavate-championnat-de-france-premium-2024-verdun,ffsavate-championnat-de-france-premium-2024-verdun-011,,,,Premium Men -75 kg,Men,,75,under,final,,GRANDO Mael,,SAVATE BOXING CLUB,,OLIVIER Clément,,CERCLE BOXE TULLISTES,,,,,,,GRANDO Mael,OLIVIER Clément,disqualification,Disq 3ème rep,decided,reported
ffsavate-championnat-de-france-premium-2024-verdun,ffsavate-championnat-de-france-premium-2024-verdun-012,,,,Premium Men -80 kg,Men,,80,under,final,,DOUBLET Jonathan,,MERIGNAC BF,,RENOIR Enzo,,BF QUINQUIN OISE,,,,,,,DOUBLET Jonathan,RENOIR Enzo,points,Majorité,decided,reported
ffsavate-championnat-de-france-juniors-2024-verdun,ffsavate-championnat-de-france-juniors-2024-verdun-001,,,,Junior Men -56 kg,Men,Junior,56,under,final,,LELONG Enzo,,IMPACT MULTI BOXE,,BOUZA Guillaume,,ECOLE SAVATE AGEN,,,,,,,LELONG Enzo,BOUZA Guillaume,points,Unanimité,decided,reported
ffsavate-championnat-de-france-juniors-2024-verdun,ffsavate-championnat-de-france-juniors-2024-verdun-002,,,,Junior Men -60 kg,Men,Junior,60,under,final,,MONACO Noah,,MJCSAVATE COTOISE,,BABAGBETO Napua,,ROYAL BOXING CLUB,,,,,,,MONACO Noah,BABAGBETO Napua,points,Majorité,decided,reported
ffsavate-championnat-de-france-juniors-2024-verdun,ffsavate-championnat-de-france-juniors-2024-verdun-003,,,,Junior Men -65 kg,Men,Junior,65,under,final,,LONGCHAMP Timothé,,BFS BELLEVILLOIS,,MONACO Mathis,,MJCSAVATE COTOISE,,,,,,,LONGCHAMP Timothé,MONACO Mathis,points,Unanimité,decided,reported
ffsavate-championnat-de-france-juniors-2024-verdun,ffsavate-championnat-de-france-juniors-2024-verdun-004,,,,Junior Men -70 kg,Men,Junior,70,under,final,,RICHARD Gabriel,,SA MERIGNAC BF,,DEBONO Théo,,BFGB,,,,,,,RICHARD Gabriel,DEBONO Théo,points,Majorité,decided,reported
ffsavate-championnat-de-france-juniors-2024-verdun,ffsavate-championnat-de-france-juniors-2024-verdun-005,,,,Junior Men -75 kg,Men,Junior,75,under,final,,RODRIGO Mateo,,CKP BF,,SADMI Timothé,,SA MERIGNAC BF,,,,,,,RODRIGO Mateo,SADMI Timothé,points,Unanimité,decided,reported
ffsavate-championnat-de-france-juniors-2024-verdun,ffsavate-championnat-de-france-juniors-2024-verdun-006,,,,Junior Men -80 kg,Men,Junior,80,under,final,,NGUENDE Warren Joël,,CSMEAUX BOXE ACT PUG.,,ROBALO Francisco,,SA MERIGNAC BF,,,,,,,NGUENDE Warren Joël,ROBALO Francisco,points,Unanimité,decided,reported
ffsavate-championnat-de-france-juniors-2024-verdun,ffsavate-championnat-de-france-juniors-2024-verdun-007,,,,Junior Men open,Men,Junior,,over,final,,ORY Gabin,,K.C.W. Section Multi-boxes,,ABAD Paul,,AUV SAVATE,,,,,,,ORY Gabin,ABAD Paul,abandon,HC 3ème rep,decided,reported
ffsavate-championnat-de-france-2e-serie-masculin-2024-verdun,ffsavate-championnat-de-france-2e-serie-masculin-2024-verdun-001,,,,2e Série Men -56 kg,Men,,56,under,final,,GONZALO Yohann,,SAVATE CLUB CRETEIL,,HASSEINE Yanis,,PROVENCE BF,,,,,,,GONZALO Yohann,HASSEINE Yanis,points,Majorité,decided,reported
ffsavate-championnat-de-france-2e-serie-masculin-2024-verdun,ffsavate-championnat-de-france-2e-serie-masculin-2024-verdun-002,,,,2e Série Men -60 kg,Men,,60,under,final,,BRICHETEAU Maxence,,VAILLANTE BF ANGERS,,MONIOT Marius,,USI SAVATE BF,,,,,,,BRICHETEAU Maxence,MONIOT Marius,points,Unanimité,decided,reported
ffsavate-championnat-de-france-2e-serie-masculin-2024-verdun,ffsavate-championnat-de-france-2e-serie-masculin-2024-verdun-003,,,,2e Série Men -65 kg,Men,,65,under,final,,AHAMADA Astadji,,SAVATE BOXE RENNAISE,,POUCHARD Thibault,,BFGB,,,,,,,AHAMADA Astadji,POUCHARD Thibault,points,Majorité,decided,reported
ffsavate-championnat-de-france-2e-serie-masculin-2024-verdun,ffsavate-championnat-de-france-2e-serie-masculin-2024-verdun-004,,,,2e Série Men -70 kg,Men,,70,under,final,,LEROY Mathieu,,COLLEGIEN BFS,,DE LA CROIX Tristan,,LE CERCLE SBF 33,,,,,,,LEROY Mathieu,DE LA CROIX Tristan,abandon,HC 4ème rep,decided,reported
ffsavate-championnat-de-france-2e-serie-masculin-2024-verdun,ffsavate-championnat-de-france-2e-serie-masculin-2024-verdun-005,,,,2e Série Men -75 kg,Men,,75,under,final,,BRAHIM Victor,,BRON BOXING ACADEMY,,DIAKITE Benjamin,,ESC Boxing,,,,,,,BRAHIM Victor,DIAKITE Benjamin,points,Unanimité,decided,reported
ffsavate-championnat-de-france-2e-serie-masculin-2024-verdun,ffsavate-championnat-de-france-2e-serie-masculin-2024-verdun-006,,,,2e Série Men -80 kg,Men,,80,under,final,,DUHEM Julien,,MULTIBOXES WATTRELOSIEN,,SOARES Damien,,CLUB MJC RELIEF,,,,,,,DUHEM Julien,SOARES Damien,abandon,Jet serviette 1ère reprise,decided,reported
ffsavate-championnat-de-france-2e-serie-masculin-2024-verdun,ffsavate-championnat-de-france-2e-serie-masculin-2024-verdun-007,,,,2e Série Men -85 kg,Men,,85,under,final,,AL CHAMALI Mohammad,,SAVATE BOXE RENNAISE,,NDOUR Moukhamadou,,BOXE NANTAISE SAVATE,,,,,,,AL CHAMALI Mohammad,NDOUR Moukhamadou,points,Majorité,decided,reported
ffsavate-championnat-de-france-2e-serie-masculin-2024-verdun,ffsavate-championnat-de-france-2e-serie-masculin-2024-verdun-008,,,,2e Série Men open,Men,,,over,final,,KOFFI Cyril,,KTEAM,,EL AOUINATE Tarik,,STCM,,,,,,,KOFFI Cyril,EL AOUINATE Tarik,abandon,HC 2ème rep,decided,reported
ffsavate-championnat-de-france-elite-a-2024-st-christol,ffsavate-championnat-de-france-elite-a-2024-st-christol-001,,,,Elite A Women -48 kg,Women,,48,under,final,,MORTIER Emma,,IMPACTS 33,,JANOLI Léa,,SBF DE CLUSES,,,,,,,MORTIER Emma,JANOLI Léa,points,Majorité,decided,reported
ffsavate-championnat-de-france-elite-a-2024-st-christol,ffsavate-championnat-de-france-elite-a-2024-st-christol-002,,,,Elite A Women -56 kg,Women,,56,under,final,,TALHA Yasmine,,ELAN SPORTIF DE MONTREUIL,,BERGANDI Nina,,ETIOLLES SBF,,,,,,,TALHA Yasmine,BERGANDI Nina,points,Majorité,decided,reported
ffsavate-championnat-de-france-elite-a-2024-st-christol,ffsavate-championnat-de-france-elite-a-2024-st-christol-003,,,,Elite A Women -60 kg,Women,,60,under,final,,PECH Morgane,,LLSBF,,ZAMBONI Mendy,,BFS CLUB THIERNOIS,,,,,,,PECH Morgane,ZAMBONI Mendy,points,Unanimité,decided,reported
ffsavate-championnat-de-france-elite-a-2024-st-christol,ffsavate-championnat-de-france-elite-a-2024-st-christol-004,,,,Elite A Women -65 kg,Women,,65,under,final,,BUZUEL ATEF Maurine,,US CRETEIL,,SERENA Fanny,,MILLAS BOXE,,,,,,,BUZUEL ATEF Maurine,SERENA Fanny,points,Majorité,decided,reported
ffsavate-championnat-de-france-elite-a-2024-st-christol,ffsavate-championnat-de-france-elite-a-2024-st-christol-005,,,,Elite A Men -65 kg,Men,,65,under,final,,HADJAM Merowan,,SPARTAN BOXING CLUB,,NANTIER Matthieu,,BFS JOCONDIENNE,,,,,,,HADJAM Merowan,NANTIER Matthieu,points,Unanimité,decided,reported
ffsavate-championnat-de-france-elite-a-2024-st-christol,ffsavate-championnat-de-france-elite-a-2024-st-christol-006,,,,Elite A Men -70 kg,Men,,70,under,final,,CARDARELLI Vittorio,,AS EVRY SBF,,NASSIBOU Ludovic,,OMNISPORT GRANDE FONTAINE,,,,,,,CARDARELLI Vittorio,NASSIBOU Ludovic,points,Majorité,decided,reported
ffsavate-championnat-de-france-elite-a-2024-st-christol,ffsavate-championnat-de-france-elite-a-2024-st-christol-007,,,,Elite A Men open,Men,,,over,final,,CROUARD GOUBIN Douglas,,CO ULIS BFS,,BALAZUC Alexis,,TOULOUSE MULTI-BOXE,,,,,,,CROUARD GOUBIN Douglas,BALAZUC Alexis,points,Majorité,decided,reported
ffsavate-finales-nationales-2024-barbezieux,ffsavate-finales-nationales-2024-barbezieux-001,,,,Women -52 kg,Women,,52,under,final,,ESTRADE Charlotte,,SA MERIGNAC BF,,AMOORDON Jessica,,PUC BOXE ET CANNE,,,,,,,ESTRADE Charlotte,AMOORDON Jessica,points,Majorité,decided,reported
