tournament,bout_id,date,time,ring,category,gender,age_class,weight_kg,weight_bound,phase,poule,red,red_country,red_club,red_weighed,blue,blue_country,blue_club,blue_weighed,red_points,blue_points,red_warnings,blue_warnings,winner_corner,winner,loser,decision,decision_detail,status,result_source
world-assaut-2026,world-assaut-2026-0022,2026-09-10,10:31,1,Senior Men Assaut -75 kg,Men,Senior,75,under,poule,A,Chant HOVHANNISYAN,Armenia,,,Mohamed Sidiki GUISSE,Guinea,,,,3,0,0,blue,Mohamed Sidiki GUISSE,Chant HOVHANNISYAN,forfait,,decided,reported
world-assaut-2026,world-assaut-2026-0023,2026-09-10,10:31,2,Senior Men Assaut -70 kg,Men,Senior,70,under,poule,E,GHASSIRI Johan,France,,,BRANTSYRA ARTEM,Ukraine,,,3,1,0,1,red,GHASSIRI Johan,BRANTSYRA ARTEM,points,,decided,reported
world-assaut-2026,world-assaut-2026-0024,2026-09-10,10:31,3,Senior Women Assaut -56 kg,Women,Senior,56,under,poule,A,Bukovinszky Luca,Hungary,,,Esther Yamina Noelle OTMANI,Algeria,,,3,1,0,0,red,Bukovinszky Luca,Esther Yamina Noelle OTMANI,points,,decided,reported
world-assaut-2026,world-assaut-2026-0025,2026-09-10,10:44,1,Senior Men Assaut -75 kg,Men,Senior,75,under,poule,B,Mehmet Emin ERTUĞRUL,Turkey,,,GAREL Florian,Chinese Taipei,,,3,1,0,0,red,Mehmet Emin ERTUĞRUL,GAREL Florian,points,,decided,reported
world-assaut-2026,world-assaut-2026-0026,2026-09-10,10:44,2,Senior Men Assaut +85 kg,Men,Senior,85,over,poule,A,NAROU Yoann,France,,,Mutéba Orphée Francis FWAMBA,DR Congo,,,3,1,0,0,red,NAROU Yoann,Mutéba Orphée Francis FWAMBA,points,,decided,reported
world-assaut-2026,world-assaut-2026-0027,2026-09-10,10:44,3,Senior Women Assaut -56 kg,Women,Senior,56,under,poule,B,Viivi Hirvonen,Finland,,,Asia Carducci,Italy,,,3,1,0,0,red,Viivi Hirvonen,Asia Carducci,points,,decided,reported
world-assaut-2026,world-assaut-2026-0028,2026-09-10,10:57,1,Senior Men Assaut -75 kg,Men,Senior,75,under,poule,C,Radoje Stevanović,Serbia,,,Bartol Pavičić,Croatia,,,1,3,0,0,blue,Bartol Pavičić,Radoje Stevanović,points,,decided,reported
world-assaut-2026,world-assaut-2026-0029,2026-09-10,10:57,2,Senior Men Assaut -70 kg,Men,Senior,70,under,poule,E,DIRICQ ENZO,Belgium,,,ATTOUGBRE Yves Alain,Ivory Coast,,,3,1,0,0,red,DIRICQ ENZO,ATTOUGBRE Yves Alain,points,,decided,reported
world-assaut-2026,world-assaut-2026-0030,2026-09-10,10:57,3,Senior Women Assaut -56 kg,Women,Senior,56,under,poule,B,Anja Lukić,Serbia,,,Katarina Klarić,Croatia,,,1,3,0,0,blue,Katarina Klarić,Anja Lukić,points,,decided,reported
world-assaut-2026,world-assaut-2026-0031,2026-09-10,11:10,1,Senior Men Assaut -75 kg,Men,Senior,75,under,poule,D,Simone Cogrossi,Italy,,,NG KWAI LAP,Hong Kong,,,3,1,1,1,red,Simone Cogrossi,NG KWAI LAP,points,,decided,reported
world-assaut-2026,world-assaut-2026-0032,2026-09-10,11:10,2,Senior Men Assaut +85 kg,Men,Senior,85,over,poule,B,Sabri Sahraoui,Algeria,,,Anthony Colli,Canada,,,3,1,0,0,red,Sabri Sahraoui,Anthony Colli,points,,decided,reported
world-assaut-2026,world-assaut-2026-0033,2026-09-10,11:10,3,Senior Women Assaut -56 kg,Women,Senior,56,under,poule,C,Rumi UMEDA,Japan,,,KERRINCKX ELISABETH,Belgium,,,1,3,0,0,blue,KERRINCKX ELISABETH,Rumi UMEDA,points,,decided,reported
world-assaut-2026,world-assaut-2026-0034,2026-09-10,11:23,1,Senior Men Assaut -75 kg,Men,Senior,75,under,poule,E,Yoshinori HASHIMOTO,Japan,,,Farzam Fallah,Iran,,,1,3,0,0,blue,Farzam Fallah,Yoshinori HASHIMOTO,points,,decided,reported
world-assaut-2026,world-assaut-2026-0035,2026-09-10,11:23,2,Senior Men Assaut -70 kg,Men,Senior,70,under,poule,C,Gadir BARKHUDARLI,Azerbaijan,,,Robert Rijetković,Croatia,,,1,3,1,1,blue,Robert Rijetković,Gadir BARKHUDARLI,points,,decided,reported
world-assaut-2026,world-assaut-2026-0036,2026-09-10,11:23,3,Senior Women Assaut -56 kg,Women,Senior,56,under,poule,C,LOBJEOIS Gwendoline,France,,,SAPONOVA ALISA,Ukraine,,,3,1,0,0,red,LOBJEOIS Gwendoline,SAPONOVA ALISA,points,,decided,reported
world-assaut-2026,world-assaut-2026-0037,2026-09-10,11:36,1,Senior Men Assaut -75 kg,Men,Senior,75,under,poule,F,GARCIA Iden,France,,,Omidullah Alizadah,Refugee Team,,,3,1,0,0,red,GARCIA Iden,Omidullah Alizadah,points,,decided,reported
world-assaut-2026,world-assaut-2026-0038,2026-09-10,11:36,2,Senior Men Assaut +85 kg,Men,Senior,85,over,poule,C,Nikola Vukčević,Serbia,,,Egor GOLOVCHENKO,Neutral Athlete,,,3,1,1,1,red,Nikola Vukčević,Egor GOLOVCHENKO,points,,decided,reported
world-assaut-2026,world-assaut-2026-0039,2026-09-10,11:36,3,Senior Men Assaut -56 kg,Men,Senior,56,under,poule,A,Cheikh THIAM,Senegal,,,SALDIRAY KALKAN,Turkey,,,3,,0,3,red,Cheikh THIAM,SALDIRAY KALKAN,disqualification,,decided,reported
world-assaut-2026,world-assaut-2026-0040,2026-09-10,11:49,1,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,A,IDRISSA SAGNA,Senegal,,,KEREM ALTAY,Turkey,,,3,1,0,1,red,IDRISSA SAGNA,KEREM ALTAY,points,,decided,reported
world-assaut-2026,world-assaut-2026-0041,2026-09-10,11:49,2,Senior Men Assaut -70 kg,Men,Senior,70,under,poule,D,Sergey Drobinsky,Germany,,,MohammadHossein Fallah,Iran,,,1,3,0,0,blue,MohammadHossein Fallah,Sergey Drobinsky,points,,decided,reported
world-assaut-2026,world-assaut-2026-0042,2026-09-10,11:49,3,Senior Men Assaut -56 kg,Men,Senior,56,under,poule,B,Li Yu Hung,Chinese Taipei,,,Anthony Ghassiri,Algeria,,,1,3,0,0,blue,Anthony Ghassiri,Li Yu Hung,points,,decided,reported
world-assaut-2026,world-assaut-2026-0043,2026-09-10,12:02,1,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,B,James Antill,United Kingdom,,,Georgi Dimitrov,Bulgaria,,,3,1,0,1,red,James Antill,Georgi Dimitrov,points,,decided,reported
world-assaut-2026,world-assaut-2026-0044,2026-09-10,12:02,2,Senior Men Assaut +85 kg,Men,Senior,85,over,poule,C,Sanan BABAZADE,Azerbaijan,,,Luka Sakač,Croatia,,,1,3,1,2,blue,Luka Sakač,Sanan BABAZADE,points,,decided,reported
world-assaut-2026,world-assaut-2026-0045,2026-09-10,12:02,3,Senior Women Assaut -56 kg,Women,Senior,56,under,poule,A,ELİF YALIM,Turkey,,,Esther Yamina Noelle OTMANI,Algeria,,,3,1,1,1,red,ELİF YALIM,Esther Yamina Noelle OTMANI,points,,decided,reported
world-assaut-2026,world-assaut-2026-0046,2026-09-10,13:15,1,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,C,GHARRAS Amor,Tunisia,,,LACHENAL Edouard,Switzerland,,,1,3,0,0,blue,LACHENAL Edouard,GHARRAS Amor,points,,decided,reported
world-assaut-2026,world-assaut-2026-0047,2026-09-10,13:15,2,Senior Men Assaut -70 kg,Men,Senior,70,under,poule,E,DIRICQ ENZO,Belgium,,,GHASSIRI Johan,France,,,1,3,2,1,blue,GHASSIRI Johan,DIRICQ ENZO,points,,decided,reported
world-assaut-2026,world-assaut-2026-0048,2026-09-10,13:15,3,Senior Women Assaut -56 kg,Women,Senior,56,under,poule,B,Anja Lukić,Serbia,,,Viivi Hirvonen,Finland,,,3,1,0,0,red,Anja Lukić,Viivi Hirvonen,points,,decided,reported
world-assaut-2026,world-assaut-2026-0049,2026-09-10,13:28,1,Senior Men Assaut -75 kg,Men,Senior,75,under,poule,F,D'ERRICO JULIEN,Belgium,,,Omidullah Alizadah,Refugee Team,,,3,1,0,0,red,D'ERRICO JULIEN,Omidullah Alizadah,points,,decided,reported
world-assaut-2026,world-assaut-2026-0050,2026-09-10,13:28,2,Senior Men Assaut -70 kg,Men,Senior,70,under,poule,E,ATTOUGBRE Yves Alain,Ivory Coast,,,BRANTSYRA ARTEM,Ukraine,,,3,1,0,0,red,ATTOUGBRE Yves Alain,BRANTSYRA ARTEM,points,,decided,reported
world-assaut-2026,world-assaut-2026-0051,2026-09-10,13:28,3,Senior Women Assaut -56 kg,Women,Senior,56,under,poule,B,Katarina Klarić,Croatia,,,Asia Carducci,Italy,,,1,3,0,0,blue,Asia Carducci,Katarina Klarić,points,,decided,reported
world-assaut-2026,world-assaut-2026-0052,2026-09-10,13:41,1,Senior Men Assaut -75 kg,Men,Senior,75,under,poule,F,GARCIA Iden,France,,,CAMARA Mohamadou,Senegal,,,3,1,0,0,red,GARCIA Iden,CAMARA Mohamadou,points,,decided,reported
world-assaut-2026,world-assaut-2026-0053,2026-09-10,13:41,2,Senior Men Assaut -70 kg,Men,Senior,70,under,poule,D,CHAN WAI YIP,Hong Kong,,,Sergey Drobinsky,Germany,,,1,3,0,0,blue,Sergey Drobinsky,CHAN WAI YIP,points,,decided,reported
world-assaut-2026,world-assaut-2026-0054,2026-09-10,13:41,3,Senior Men Assaut -60kg,Men,Senior,60,under,poule,D,Sajjad Dareini,Iran,,,LAURENT Medhi,France,,,1,3,0,0,blue,LAURENT Medhi,Sajjad Dareini,points,,decided,reported
world-assaut-2026,world-assaut-2026-0055,2026-09-10,13:54,1,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,A,KEREM ALTAY,Turkey,,,Aditya Amol Khandizod,India,,,3,,1,3,red,KEREM ALTAY,Aditya Amol Khandizod,disqualification,,decided,reported
world-assaut-2026,world-assaut-2026-0056,2026-09-10,13:54,2,Senior Men Assaut +85 kg,Men,Senior,85,over,poule,A,NAROU Yoann,France,,,Olivier Lafleur,Mauritius,,,3,1,1,2,red,NAROU Yoann,Olivier Lafleur,points,,decided,reported
world-assaut-2026,world-assaut-2026-0057,2026-09-10,13:54,3,Senior Men Assaut -56 kg,Men,Senior,56,under,poule,A,Cheikh THIAM,Senegal,,,Stephane Jonkeer,Mauritius,,,3,1,0,0,red,Cheikh THIAM,Stephane Jonkeer,points,,decided,reported
world-assaut-2026,world-assaut-2026-0058,2026-09-10,14:07,1,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,B,James Antill,United Kingdom,,,Jovan Stevanović,Serbia,,,1,3,0,0,blue,Jovan Stevanović,James Antill,points,,decided,reported
world-assaut-2026,world-assaut-2026-0059,2026-09-10,14:07,2,Senior Men Assaut +85 kg,Men,Senior,85,over,poule,B,Sabri Sahraoui,Algeria,,,Zan ŠUBELJ,Slovenia,,,1,3,0,0,blue,Zan ŠUBELJ,Sabri Sahraoui,points,,decided,reported
world-assaut-2026,world-assaut-2026-0060,2026-09-10,14:07,3,Senior Men Assaut -56 kg,Men,Senior,56,under,poule,B,Li Yu Hung,Chinese Taipei,,,ALAKBAR KHANMAMMADOV,Azerbaijan,,,1,3,0,0,blue,ALAKBAR KHANMAMMADOV,Li Yu Hung,points,,decided,reported
world-assaut-2026,world-assaut-2026-0061,2026-09-10,14:20,1,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,D,Beyrak BAGHIROV,Azerbaijan,,,Valentino Florjanić,Croatia,,,1,3,1,1,blue,Valentino Florjanić,Beyrak BAGHIROV,points,,decided,reported
world-assaut-2026,world-assaut-2026-0062,2026-09-10,14:20,2,Senior Men Assaut +85 kg,Men,Senior,85,over,poule,D,Pharelle Wilson AKOUAN,Cameroon,,,Gabriele Fioravanti,Italy,,,3,1,0,1,red,Pharelle Wilson AKOUAN,Gabriele Fioravanti,points,,decided,reported
world-assaut-2026,world-assaut-2026-0063,2026-09-10,14:20,3,Senior Men Assaut -56 kg,Men,Senior,56,under,poule,B,Anthony Ghassiri,Algeria,,,Liu KUBOTA,Japan,,,3,1,0,0,red,Anthony Ghassiri,Liu KUBOTA,points,,decided,reported
world-assaut-2026,world-assaut-2026-0064,2026-09-10,14:33,1,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,E,Silvio Fortunato,Italy,,,Jonathan Artback,Sweden,,,3,1,0,0,red,Silvio Fortunato,Jonathan Artback,points,,decided,reported
world-assaut-2026,world-assaut-2026-0065,2026-09-10,14:33,2,Senior Men Assaut +85 kg,Men,Senior,85,over,poule,D,Keivan Zarghani,Iran,,,Balla TRAORÉ,Mali,,,1,3,1,0,blue,Balla TRAORÉ,Keivan Zarghani,points,,decided,reported
world-assaut-2026,world-assaut-2026-0066,2026-09-10,14:33,3,Senior Men Assaut -56 kg,Men,Senior,56,under,poule,C,Abolfazl Dowlat Abadi,Iran,,,PECQUET BAPTISTE,Belgium,,,3,1,0,1,red,Abolfazl Dowlat Abadi,PECQUET BAPTISTE,points,,decided,reported
world-assaut-2026,world-assaut-2026-0067,2026-09-10,14:46,1,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,C,GHARRAS Amor,Tunisia,,,Grigorii DROGIN,Neutral Athlete,,,1,3,1,0,blue,Grigorii DROGIN,GHARRAS Amor,points,,decided,reported
world-assaut-2026,world-assaut-2026-0068,2026-09-10,14:46,2,Senior Men Assaut -60kg,Men,Senior,60,under,poule,A,Sajti Benjamin,Hungary,,,Andrei KOTOCHIGOV,Neutral Athlete,,,1,3,2,2,blue,Andrei KOTOCHIGOV,Sajti Benjamin,points,,decided,reported
world-assaut-2026,world-assaut-2026-0069,2026-09-10,14:46,3,Senior Men Assaut -56 kg,Men,Senior,56,under,poule,C,CAVROT-WESTERLINCK Ethan,France,,,Johan Felipe Caballos Peña,Colombia,,,3,1,0,0,red,CAVROT-WESTERLINCK Ethan,Johan Felipe Caballos Peña,points,,decided,reported
world-assaut-2026,world-assaut-2026-0070,2026-09-10,14:59,1,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,F,AmirReza Zarghani,Iran,,,TOGNOCCHI JULIEN,Belgium,,,3,1,0,1,red,AmirReza Zarghani,TOGNOCCHI JULIEN,points,,decided,reported
world-assaut-2026,world-assaut-2026-0071,2026-09-10,14:59,2,Senior Men Assaut -60kg,Men,Senior,60,under,poule,B,Sim Cong Yu,Chinese Taipei,,,Kais Garayalde,Algeria,,,1,3,0,0,blue,Kais Garayalde,Sim Cong Yu,points,,decided,reported
world-assaut-2026,world-assaut-2026-0072,2026-09-10,14:59,3,Senior Women Assaut -48 kg,Women,Senior,48,under,poule,A,Mariama CISSE,Senegal,,,Aicha Ouennas,Algeria,,,3,1,0,0,red,Mariama CISSE,Aicha Ouennas,points,,decided,reported
world-assaut-2026,world-assaut-2026-0073,2026-09-10,15:12,1,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,F,BIENVENU Jovan,France,,,KOSTIUK NAZARII,Ukraine,,,3,1,0,0,red,BIENVENU Jovan,KOSTIUK NAZARII,points,,decided,reported
